Date,BDI,EPU
10/01/2008,851,208.4146728
11/01/2008,715,143.9655646
12/01/2008,774,144.7320653
01/01/2009,"1,070.00",146.1156818
02/01/2009,"1,986.00",147.7060359
03/01/2009,"1,615.00",132.5850287
04/01/2009,"1,786.00",102.6258753
05/01/2009,"3,494.00",103.7354323
06/01/2009,"3,757.00",117.723356
07/01/2009,"3,350.00",106.8999676
08/01/2009,"2,421.00",103.46691
09/01/2009,"2,220.00",106.736795
10/01/2009,"3,103.00",92.28257901
11/01/2009,"3,887.00",105.8501701
12/01/2009,"3,005.00",102.9912754
01/01/2010,"2,848.00",118.3135727
02/01/2010,"2,738.00",115.0607864
03/01/2010,"2,998.00",115.2601662
04/01/2010,"3,354.00",109.5519338
05/01/2010,4078,147.8451365
06/01/2010,"2,406.00",138.9432202
07/01/2010,"1,967.00",149.2198951
08/01/2010,2713,123.8309955
09/01/2010,2446,133.3177306
10/01/2010,"2,678.00",127.3612787
11/01/2010,"2,099.00",131.225365
12/01/2010,"1,773.00",135.424205
01/01/2011,"1,107.00",115.3867707
02/01/2011,1251,96.91141511
03/01/2011,"1,530.00",131.2455776
04/01/2011,"1,269.00",119.9999478
05/01/2011,"1,480.00",94.75674102
06/01/2011,"1,413.00",125.0201677
07/01/2011,"1,264.00",154.146522
08/01/2011,"1,619.00",217.5587664
09/01/2011,"1,899.00",194.9647745
10/01/2011,"1,965.00",167.5409153
11/01/2011,"1,846.00",192.2571058
12/01/2011,"1,738.00",178.9846501
01/01/2012,680,155.2344003
02/01/2012,750,142.0633855
03/01/2012,934,133.4333461
04/01/2012,"1,155.00",130.8913761
05/01/2012,923,160.4814554
06/01/2012,"1,004.00",184.0088091
07/01/2012,897,153.31282
08/01/2012,703,117.367777
09/01/2012,766,154.4224764
10/01/2012,"1,026.00",151.9054337
11/01/2012,"1,086.00",166.7375965
12/01/2012,699,171.1753826
01/01/2013,760,168.2708475
02/01/2013,757,123.7757252
03/01/2013,910,146.2305248
04/01/2013,863,137.1042724
05/01/2013,809,108.7428188
06/01/2013,1171,128.7229592
07/01/2013,1062,109.0125257
08/01/2013,1132,120.3891255
09/01/2013,2003,139.6343802
10/01/2013,"1,504.00",169.926898
11/01/2013,"1,821.00",104.9032579
12/01/2013,"2,277.00",124.1967249
01/01/2014,"1,110.00",116.1690105
02/01/2014,"1,258.00",102.0140286
03/01/2014,"1,362.00",115.8400858
04/01/2014,943,111.6560375
05/01/2014,934,107.7297378
06/01/2014,850,92.17422595
07/01/2014,755,95.31852591
08/01/2014,1147,97.74883044
09/01/2014,1063,122.8782644
10/01/2014,"1,428.00",113.3626995
11/01/2014,"1,153.00",120.5770925
12/01/2014,782,111.6938998
01/01/2015,608,130.1209724
02/01/2015,540,116.3280438
03/01/2015,602,113.2598831
04/01/2015,591,102.0992634
05/01/2015,589,105.0579769
06/01/2015,800,120.1849933
07/01/2015,"1,131.00",124.3667489
08/01/2015,903,120.4283982
09/01/2015,900,154.3697754
10/01/2015,721,116.5775875
11/01/2015,584,106.3878621
12/01/2015,478,113.3789916
01/01/2016,317,145.2155163
02/01/2016,329,148.1728398
03/01/2016,429,160.5810213
04/01/2016,703,143.4799274
05/01/2016,612,127.1983559
06/01/2016,660,231.4100834
07/01/2016,656,204.7891087
08/01/2016,711,135.6926578
09/01/2016,875,136.8544076
10/01/2016,857,126.9531853
11/01/2016,"1,204.00",229.828433
12/01/2016,961,186.0959343
01/01/2017,800,249.5009892
02/01/2017,859,187.1130093
03/01/2017,1297,239.2082244
04/01/2017,1109,178.2412699
05/01/2017,878,145.5162423
06/01/2017,901,173.733166
07/01/2017,946,167.6194174
08/01/2017,1184,141.6819408
09/01/2017,1356,159.7025846
10/01/2017,1522,145.6594586
11/01/2017,1578,162.0591591
12/01/2017,1366,150.1289087
01/01/2018,1152,180.4975609
02/01/2018,1192,128.0258305
03/01/2018,"1,055.00",184.4473549
04/01/2018,1341,167.5645945
05/01/2018,1090,173.4920071
06/01/2018,1385,166.4303759
07/01/2018,1747,232.1760633
08/01/2018,1579,174.7631385
09/01/2018,1540,196.1981942
10/01/2018,1490,216.8338357
11/01/2018,"1,231.00",251.5744569
12/01/2018,"1,271.00",222.7713059
01/01/2019,668,246.6401157
02/01/2019,658,175.4990609
03/01/2019,689,244.1435109
04/01/2019,1011,193.9212715
05/01/2019,1096,226.8062136
06/01/2019,1354,327.084875
07/01/2019,"1,868.00",252.6694049
08/01/2019,"2,378.00",294.4278184
09/01/2019,"1,823.00",240.2580513
10/01/2019,"1,731.00",203.9445273
11/01/2019,"1,528.00",246.7863605
12/01/2019,"1,090.00",234.6960892
01/01/2020,487,194.3715413
02/01/2020,535,198.6643345
03/01/2020,626,320.2760909
04/01/2020,635,331.5868408
05/01/2020,504,420.7593369
06/01/2020,1799,314.3082413
07/01/2020,1350,316.9687523
08/01/2020,1488,294.261849
09/01/2020,1725,314.8330421
10/01/2020,1283,310.1149946
11/01/2020,"1,227.00",404.9264473
