COUNTRY,INDEX_TYPE,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
United States,Consumer price index (CPI),-2.828529429,-0.497633075,1.060302337,0.679071982,0.201188589,0.401415054,0.475072152,0.093250498,0.294916321,1.264822375,1.743310892,0.408517984,-0.15205577,0.795638656,0.827531738,0.219328148,0.03604047,0.590329876,0.540980612,0.377979341,-0.279067646,0.76122253,1.180867814,0.114675844,-0.803351757,-0.543199002,1.205595644,0.262677374,-0.449843688,0.064634066,1.172350557,0.332681941,0.222574197,0.790736963,0.543517706,0.396615691,0.370629636,0.88611838,1.033075567,0.327267568,-0.057494736,0.335116034,1.198513227,0.274166008,0.213017997,0.419427422,-0.540035417,1.131485375,0.22995025,1.0731144,2.339788694,1.600975314,1.517761427,2.283464472,2.973832898,1.314662146,0.367161275,1.044906557,1.192332172,0.866426547,0.104507738,1.042575543,1.151035094,0.302083687,0.224954136
United Kingdom,Consumer price index (CPI),0.191424196,-0.229270157,0.919188051,0.417457306,0.491307634,0.488905604,1.122754491,0.222057735,0.886262925,1.281112738,1.301048066,0.570816982,0.81589216,0.387051372,0.736067298,0.27835769,1.006245663,0.412229474,0.650017106,0.305914344,0.576075906,0.101078167,0.639515315,0.16722408,0.133555927,-0.53351117,0.603419376,0.133288904,0.166389351,-0.199335548,0.665778961,0.396825397,0.658761528,0.42539267,1.075268817,0.51579626,0.737652341,0.127347978,0.890302067,0.535770564,0.532915361,-0.155908949,0.99937539,0.401978973,0.184785956,0.061481709,0.153609831,0.36809816,0.152811736,0.213610009,1.339829476,0.931490385,1.875558202,1.256575102,3.665223665,1.698218263,2.491103203,0.854700855,2.436440678,0.439503619,0.566280566,0.435116458,1.401630989,0.477506911,1.050525263
Austria,Consumer price index (CPI),-0.216924302,-0.372666455,0.592269532,0.030981065,0.371750999,0.401238978,1.137411367,-0.121579121,0.669501131,1.162978523,1.57067825,0.096650545,0.547151173,0.352113984,1.212120495,0.22061257,0.974840899,0.062284091,0.871460579,-0.09256504,0.71032035,0.091997326,1.041669493,-0.181930424,0.4556514,-0.459319618,1.210085358,-0.265697138,0.299700638,-0.265601756,0.798930833,-0.132097372,0.925926158,0.425951062,0.717779055,0.064789839,0.971186822,0.032060823,0.865382119,0.254211414,0.950873854,-0.345371187,0.81915392,-0.031245906,0.875273745,0.198543917,0,0.334448161,0.666666667,0.331125828,1.155115512,0.946166395,1.583710407,2.036271079,3.086997194,2.752571083,2.325581395,1.869965478,1.60971477,0.833796554,1.019845645,0.763983629,0.595721636,-0.053835801,0.592512793
Belgium,Consumer price index (CPI),-0.743669738,-0.208325719,-0.172135951,-0.099057123,0.201983107,1.059190031,1.000942917,0.315978456,0.587014103,1.434061633,1.10156113,0.468440959,0.583684465,1.359750026,0.311663674,0.364729324,0.370133585,0.201146535,0.317842685,0.24346318,0.039924144,0.395756427,-0.261693388,-0.09299545,-0.172866594,0.046621599,0.712312352,0.221436362,0.445191927,0.400538429,1.049671365,0.190926154,0.219631149,1.150536595,0.340916332,0.174641984,0.389882084,0.612547757,0.618233171,0.614434533,0.750178245,0.163071905,0.359402838,-0.113250283,0.131764417,0.661015393,-0.130726902,0.155251142,-0.127655694,0.639094312,0.768090961,1.320409327,2.351686758,3.330728941,1.697098689,2.53345817,3.091260676,-0.36212062,-0.321602259,1.117435669,0.394303354,1.501253198,0.440405275,0.81611963,0.394700455
Denmark,Consumer price index (CPI),-0.110497238,0.258112094,0.809121,0.036483035,0.14587892,1.092498179,0.900576369,0.214209211,0.356252227,1.206957756,1.227639425,-0.103950104,0.242802636,1.314878893,0.717213115,0.169549,0.033852404,0.236886633,0.405131668,-0.168123739,0.168406871,0.201748487,0.402684564,-0.200534759,0.066979236,0,0.736278447,-0.199335548,-0.199733688,-0.03335557,0.567233901,-0.165892502,0.033233632,0.531561462,0.429610046,0.526488977,-0.22913257,-0.131233596,0.821287779,0.423590746,-0.324464633,0.260416667,0.38961039,0.09702458,-0.064620355,0.193986421,-0.129073895,0.516962843,-0.128576021,0.45059543,0.801025312,0.76287349,1.104100946,2.090483619,3.300733496,2.426035503,1.126516464,0.314195944,-0.341685649,1.028571429,-0.537330317,0.824566392,0.253807107,0.70323488,-0.083798883
France,Consumer price index (CPI),-0.501493811,-0.418230563,0.552803503,-0.053548479,0.285744901,0.534245112,0.839621639,-0.122962338,0.383411305,0.68680356,1.106702861,-0.051631557,0.681888625,0.560971438,0.79594544,-0.074241555,0.243152882,0.094330088,0.541886843,0.05690948,-0.043494262,0.170705583,0.444414743,-0.172987359,-0.163289789,-0.347141093,0.901021604,-0.302084717,-0.153164852,-0.48020809,0.934892605,-0.016599163,0.066407677,0.245545343,0.589189368,-0.032906644,0.335758254,0.462583249,1.120109725,0.313256903,-0.009658103,-0.202839757,1.022712608,0.194807269,0.070121757,-0.095553574,0.127526621,0.245176081,-0.200107995,0.569700827,0.762682363,0.584170854,0.774370824,1.49036376,2.347733171,1.118601599,0.982329862,1.416802991,1.561194804,0.643807255,0.053542242,0.512603859,0.983551433,0.183140019,-0.409926878
Germany,Consumer price index (CPI),-0.570850852,-0.067549666,0.202774521,0.202360367,0.067322304,0.336358448,0.502850095,0.200132912,0.332887379,0.829464789,0.625204687,0.392412346,0.358308351,0.746508359,0.354379942,0.545744414,0.351219023,0.286348093,0.317260473,0.664136724,0.062831278,0.156984885,0.188087303,0.438044108,-0.28036786,-0.394574624,1.210491191,0.199331506,-0.596815384,-0.500335729,1.039220671,0.564035345,-0.065976534,0.099038837,0.824530238,0.686953084,-0.194934678,3.43E-06,1.236978144,0.836012892,-0.09566301,-0.606450362,1.57352906,0.600695125,-0.314254811,-0.238560109,0.366422385,-0.730169267,0.100300903,1.770207081,1.050213325,0.909386164,0.901190859,1.850079745,2.849984341,1.613885505,2.007791429,1.527614571,1.244212963,0.714489854,0.028376844,0.510638298,1.016088061,0.363229953,0.389755011
"San Marino, Republic of",Consumer price index (CPI),,,,,,,0.968059659,0.156080158,0.648392932,1.309776598,0.722295515,0.039294017,0.782298452,1.081519974,0.906082319,0.340710078,0.326859609,0.344773051,0.390871265,0.518085908,0.228032362,0.286514476,0.429079685,-0.037133309,-0.030955919,-0.253917136,0.509127033,-0.166790215,0.148505662,0.097493358,0.376578798,0.156042497,0.119335698,0.715160746,-0.118347086,0.108613369,0.27945818,0.485229992,0.437208392,0.334600266,-0.223402189,0.230392316,0.271950272,-0.103319127,-0.074337427,0.197302455,-0.338950223,-0.100411363,0.055119642,0.803655336,0.430771209,0.710604654,0.87086419,1.896839651,1.617242339,0.955510924,2.052688691,2.321528783,0.917934359,0.800892423,-0.022700831,0.139074163,0.521512386,-0.087407658,0.564413715
Italy,Consumer price index (CPI),-0.435412076,-0.194362757,0.511195812,0.242192159,0.096637719,0.434469844,0.624843927,0.453794682,0.261530193,0.979553828,0.95207028,0.585366345,0.743616392,0.930678819,0.985687836,0.472299371,0.062674081,0.375819052,0.249611315,0.435738019,-0.371869354,0.186622005,0.186264363,-0.061974909,-0.217043362,-0.155370576,0.497976253,0.061923195,-0.247599383,-0.40489114,0.200937709,0.434491979,-0.099833611,0.799467022,0.363516193,0.065854462,-0.296150049,0.594059406,0.557742782,0.619902121,-0.356679637,0.130165962,0.454988625,0.129407959,-0.42003231,0.129785853,0.032404407,-0.22675737,-0.162337662,0.943089431,0.644329897,0.736235595,1.175722911,3.015075377,1.829268293,2.125748503,4.309586631,0.393479483,0.419932811,0.390298299,-0.222160511,0.333982744,0.305131761,0.60840708,-0.082462892
Luxembourg,Consumer price index (CPI),-0.708141777,-0.687054255,0.954994924,0.305388999,0.493817993,0.203206976,1.190959035,0.451829179,0.685577481,1.116835393,1.314711227,0.021100014,0.882497715,0.627330708,0.997471686,0.126881794,0.801424755,0.18347377,0.688462321,0.016841254,0.41759278,-0.050305185,0.503305036,-0.233699462,-0.297828197,0.023494663,1.043589141,-0.205897981,-0.043261231,-0.53933482,0.813389121,-0.059764925,0.518272425,0.456107879,0.786339409,0.107726961,0.238048653,-0.048797944,0.982944929,0.515696513,0.580388636,-0.051009022,0.953717585,0.091627172,0.350389848,0.084932369,-0.009428922,0.311183756,0.156675963,0.791540218,0.996399305,0.513261825,1.736790607,2.079826881,2.561535744,0.269851295,1.024965644,0.334410248,1.830301661,0.771108399,0.266996972,0.345897274,0.995814297,0.048758025,-0.457560579
"Netherlands, The",Consumer price index (CPI),-0.36681611,0.45370026,1.092107212,-0.886219651,0.273415851,0.412690224,1.177938424,-0.308283766,0.40018918,0.587020328,1.430166793,0.426196903,0.045975385,0.55852098,1.160052027,0.510824617,0.5877472,0.673678422,0.949129396,0.534361472,-0.602166454,0.216604055,0.840903718,0.465505693,-0.616687223,-0.519889985,1.56444924,0.318693357,-0.728018796,-0.556685223,0.978814696,0.32200239,-0.059561232,0.281428997,0.699947174,0.462295082,-0.088117229,0.150258052,0.988258317,0.968898363,-0.086364073,0.649891151,1.103724673,0.978418172,-0.087235567,-0.383547975,0.804482564,0.8291153,-0.237141977,0.348840799,1.055189811,0.986331395,2.300063304,2.917256011,2.476664949,4.051297812,1.37751403,-1.366742597,1.53606531,1.028828352,-0.36911961,0.804035945,1.402356376,1.70942368,-0.07582076
Norway,Consumer price index (CPI),0.942684766,-0.074710497,0.934579439,0,0.555555556,1.436464088,0.58097313,-0.722021661,0.981818182,0.540151242,0.64469914,-0.676156584,0.322465066,0.535714286,0.213143872,-0.708968451,1.17815066,0.564573042,0.912280702,0.312934631,0.485268631,0.379441187,0.687285223,0.580204778,0.373260943,0.304259635,0.943714189,0.367278798,0.864936793,0.95646438,1.241424371,0.87124879,0.447856686,0,0.76433121,0.284450063,0.28364324,0.659962288,1.155167031,1.141975309,0.366188587,0.304043782,0.606244316,0.361554685,0.330231162,-0.149611011,0.599340725,0.774501043,0.059119125,1.506646972,0.465657742,1.419466976,1.171093973,0.705815923,2.410989627,2.29947988,1.070377308,0.688377019,2.287667631,0.411311054,1.075268817,0.531914894,1.033005795,0.124688279,0.672478207
Sweden,Consumer price index (CPI),-0.100162902,-1.430129681,0.260442865,-0.146048876,0.583933456,-0.014430335,0.502914238,0.049708378,1.344771621,0.693967818,1.131691695,0.110191069,0.704232878,-0.18994864,0.489065141,-0.378767841,0.151870772,-0.316006023,0.268073699,-0.012731285,0.127329061,-0.728031877,0.626621262,-0.187770517,0.080776303,-0.505506409,0.412010204,-0.045709183,0.207380623,0.076412842,0.574779685,0.171870222,0.606303025,0.118228044,0.871555319,0.542864543,0.222567981,0.050377834,1.072815833,0.764553976,0.190697205,-0.163143637,1.226585432,0.260081911,0.391595603,-0.879138286,0.344586496,0.722639725,0.138352225,0.328625988,0.599032106,0.902486482,1.451606651,1.621869448,3.277502068,3.049718327,3.146692573,1.495808824,1.789269445,1.084028808,1.071583763,0.648950323,0.546439279,-0.238068519,0.353535759
Switzerland,Consumer price index (CPI),-0.100967876,-1.346833809,0.909914689,-0.422871076,0.698283733,-0.065572736,0.779762468,-1.070140576,0.684699121,0.213221571,0.578535244,-1.08367995,-0.152439225,-0.214385508,0.433516388,-0.591337424,0.030675566,-0.244206935,0.383256122,-0.202763598,0.028506017,-0.235809337,0.514637954,-0.300029539,-0.109856354,-0.835542135,0.12934333,-0.562294655,-0.089183182,-0.465353099,0.732763687,-0.349825923,-0.099505559,0.239910913,0.582729966,-0.240648034,0.179694399,0.199235652,0.844153144,-0.092023811,-0.044898803,-0.082736781,0.868844022,-0.477280823,-0.379730705,-0.132348017,-0.236847532,-0.115652693,-0.206496074,0.127608842,0.69051646,0.222079092,0.388131343,0.746978535,1.574888548,0.631250339,-0.046042305,1.00832873,0.535630202,0.100546965,-0.033649243,0.557422799,0.732746317,-0.193188959,-0.433794382
Canada,Consumer price index (CPI),-1.498127341,-0.3217315,0.850938967,0.116380564,0.145306597,0.493325595,0.635287323,0.545193687,0.570776256,0.82292849,1.37911624,0.19433648,0.277085065,0.469743023,0.632563256,-0.163979229,0,0.437996168,0.490596893,0.216978573,-0.216508796,0.895036615,1.317204301,0.07959671,-0.371155885,0.053219798,1.143617021,0.368130423,-0.235787267,0.262605042,1.15243583,0.051786639,-0.077639752,0.777000777,0.56540735,0.102223358,0.331886648,1.043256997,0.805842357,0.474644017,-0.298359025,0.623441397,1.338289963,0.269014429,-0.146341463,0.34196385,-0.438169426,0.513447433,0.364874726,0.993698497,1.439884809,1.206529454,1.00514259,2.059708401,3.083900227,0.835899692,0.545375218,0.607507051,1.488031055,0.998725032,0.084157374,0.252259828,1.383937932,0.310237849,-0.041237113
Japan,Consumer price index (CPI),-0.670690812,-1.249155976,3.13E-14,-0.307692308,-0.514403292,-0.031380129,0.07020007,-0.526131182,0.211565585,-0.281491907,0.211714891,0,-0.246478873,0.352982704,0.070348224,-0.597539543,-0.070721358,-0.070771408,0.460339943,0.563976031,0.455660708,0.034891835,2.476456226,0.374404357,-0.305188199,-0.238095238,0.750085237,-0.101522843,-0.169376694,-0.441126569,0.340831629,-0.203804348,0.612661675,-0.405953992,0.407608696,0,0.575101488,0.302724521,-0.201207243,0.436827957,0.334560054,-0.266755585,0.23403544,0.03335557,0.500166722,-0.099535501,-0.298904019,-0.066622252,-0.466666667,0.301406564,-0.500834725,0.503355705,0.20033389,0.666444518,0.993048659,0.983284169,1.168451801,0.449149824,0.734589588,0.760938491,0.943989931,0.06234414,0.934579439,0.802469136,1.102265769
Finland,Consumer price index (CPI),0.03055311,-0.519244219,0,-0.276325158,-0.246302551,0.687223918,0.769620577,-0.140077116,1.242398985,1.319524596,0.892099999,0.325932473,0.691564113,1.134042301,0.814936883,0.11592451,0.300431689,0.43993765,0.639927424,-0.043211265,0.345856355,0.375431634,0.242209427,0.134590577,0.064131192,-0.560738477,0.240440808,-0.079954692,0.153369119,-0.346216585,0.584599967,0.043175025,0.434883644,-0.099160442,0.390418211,-0.046140663,0.356106568,0.032855829,0.633909216,0.267632756,0.38410208,-0.132948539,0.694850315,0,0.216045402,-0.099745809,-0.289873744,0.494217973,0.106071807,0.735294118,0.736301916,0.607518036,1.317775821,2.160484246,2.588800097,1.557918431,2.280614774,1.713666562,1.272706885,0.484415656,0.377400072,0.63944234,0.043631207,-0.062692507,0.310931704
