COUNTRY,INDICATOR,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
"Azerbaijan, Republic of",Producer price index (PPI),-34.72924036,-16.6488653,22.29566494,20.30079525,7.869534221,8.110619609,3.313776998,0.250683865,9.087105511,8.052193497,10.3081157,-2.685427398,1.088259149,17.41113282,-7.373135628,0.071216472,-0.409305574,1.182564375,-7.233675534,6.403268492,-1.782325502,2.673001809,1.409444556,-5.97305896,-22.72711641,-20.44956017,28.459153,-14.71943322,-8.051555767,9.006388512,24.40677966,7.599152286,13.07062461,15.36556905,-7.635894993,5.067727872,13.20293369,8.166306121,7.35227607,3.125485848,-4.788439893,0.705351714,8.34746369,-7.17104368,2.293572175,-15.66363717,-32.98763914,41.40694282,0.389972174,28.03608684,10.84071194,7.483323881,40.16582915,32.0645611,11.61278737,-5.301604582,-7.259411749,-6.999265166,-2.170420953,6.202859196,0.035938603,-3.111268006,5.388430374,,
El Salvador,Producer price index (PPI),-14.92634356,-5.917547384,1.274195794,1.739429357,2.184979952,1.051494577,1.20193108,-1.029740755,0.824385866,2.212258086,3.151409586,1.447825135,0.903150237,0.980601802,0.877299129,0.305883764,0.185362354,0.543121456,-0.189956073,-0.220054716,0.178816237,0.371868864,0.4090222,0.720252679,-0.038099704,-0.143661311,-0.246630846,-0.12950699,-0.586484336,-0.367603463,-0.312425613,0.408918604,0.294292509,0.539435075,0.365555261,0.117491555,0.187765879,0.585668687,0.422137471,0.579810982,0.317057705,0.264337432,0.23784961,-0.165813774,-0.217634088,-0.045917635,-0.29860174,0.45212383,0.068803394,0.819343379,1.287224369,1.357834198,1.516787069,0.992447583,1.827704436,1.56689114,0.448980657,1.083651672,0.766106227,,,,,,
Costa Rica,Producer price index (PPI),-0.393260786,-7.794820806,-2.674344724,0.063319445,3.032823096,4.809193135,4.579552929,2.209586252,3.164534087,5.303341952,4.409896797,-0.058165706,-0.529662177,0.952449211,2.081138789,1.899365742,0.630120685,0.707619954,0.498567455,-0.060044703,0.07009671,-3.138186173,-1.690288458,2.415214995,0.316305804,1.00223561,0.624778063,-0.602711968,-0.708685677,-0.704216507,-0.893101591,-1.591932139,-0.357377838,-0.241518736,-0.894617203,0.717352105,1.514297102,0.680457168,1.38881795,-0.433782366,-3.400944775,0.345800808,2.410271758,2.400735641,-0.249893124,0.683251635,-0.222643103,-2.468526875,-1.320094955,1.571675596,2.82920375,1.907013832,1.586865639,2.321873663,0.589133896,,,,,,,,,,
West Bank and Gaza,Producer price index (PPI),,,,,,,0.726962406,0.577998815,2.059576091,3.473359356,-3.634830347,1.282354684,1.173351741,0.544247072,0.246195946,2.652149611,-0.427360786,-0.18249053,-1.02271679,1.124120003,0.937789544,-0.207754944,-2.020669534,2.409801323,1.284231911,-0.120963688,-1.481351056,1.778094584,1.770512931,-1.527826016,1.492500454,0.821272885,-0.230540392,-0.381479536,0.96939989,1.159769121,-2.570857106,1.820501991,2.185672595,1.255895472,-2.866648988,1.520299456,-0.924991758,-0.856181452,0.259037281,-2.128827256,-2.88349119,-0.495856537,1.76268828,-1.476627364,3.772935205,2.195839024,-0.343495271,5.061657973,-0.342286556,0.692939592,1.656745148,0.571807395,-0.568685415,3.807220691,7.21563396,,,,
France,Producer price index (PPI),-2.425249169,-3.643173306,-1.024734982,0.392716887,0.675675676,0.777110562,0.94637224,0.555555556,1.208563536,1.808256568,1.273458445,0.330906684,0.560686016,1.115119711,-0.162179695,0.617283951,0.355182435,0.482625483,-1.569004163,0.227716331,0.162284972,-0.32404407,-0.910273082,-0.229658793,-0.164419599,-0.658761528,0.099469496,-0.894335873,-0.601604278,-1.950235373,-0.102880658,0.549261929,1.570501878,1.378151261,-1.160477454,-0.06709158,1.812688822,0.560501154,0.032786885,1.212717142,0.582901554,-0.0643915,-0.869845361,-0.064998375,0.74796748,-0.548741123,-3.180785459,0.838082467,1.263297872,3.184504268,1.30448616,3.768844221,7.082324455,8.253250424,4.046997389,5.094102886,0.477554919,2.423954373,-4.663573086,-0.486736432,1.614086574,,,,
Kyrgyz Republic,Producer price index (PPI),0.550813668,3.828699828,1.256046847,3.13329422,7.494345041,9.658274741,0.250616903,4.057794938,8.739073448,5.389767459,5.242708876,3.858426041,1.863917595,0.125465512,-7.905592937,-3.627756164,4.76595558,0.312990086,-4.433758959,-5.083096251,-0.622878998,1.557244254,3.218370846,0.804809859,0.788686795,3.709251724,1.690066203,0.892869289,6.414261767,1.532072414,-1.946067963,3.05763974,-3.238766344,1.339948323,1.810708115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Producer price index (PPI),-5.023600809,-4.969826056,1.045946956,1.109057301,0.621572212,2.688953488,2.79547063,0.929432014,1.466575716,4.974789916,2.433557477,-0.625195374,-0.157282164,2.646502836,0.920810313,0.030413625,0.699300699,0.332125604,-1.594944327,-0.305810398,-0.981595092,-0.619578686,-1.059850374,-0.56710775,-2.122940431,-3.043056005,2.303839733,-2.088772846,-1.866666667,-4.076086957,2.83286119,2.61707989,4.798657718,2.945885367,-1.33748056,-0.157629256,3.631196716,0.365630713,1.032179721,2.193509615,2.381652455,-1.522113728,-0.437445319,-1.230228471,1.631079478,-1.634082288,-5.814298428,2.267716535,2.9565753,,,,,,,,,,,,,,,,
Philippines,Producer price index (PPI),-0.518326546,-4.503163379,1.052221356,0.944851523,-0.878701051,-2.389670457,-3.198420533,-0.183561085,-0.735594606,3.128859613,-0.099800399,-1.658341658,0.853311662,2.679290894,-1.432215028,-3.005573248,-1.662220398,-4.069282137,-0.391559713,-0.524131907,0.06586169,0.241333918,-0.897351718,-0.022084806,-0.662690524,-3.402268179,-3.17679558,-0.713266762,0.04789272,-2.87218765,-0.098570724,-1.33201776,-0.35,0.903161064,-1.044256589,-0.100502513,-0.125754527,-25.83732057,1.528013582,1.404682274,-0.131926121,-1.42007926,-1.809045226,-0.716479017,-0.618556701,-1.071922545,-2.656413841,-0.78994614,0.108577633,-1.626898048,-0.183755972,1.399116348,1.125635439,2.118491921,2.285513361,1.993812307,-0.337040782,,,,,,,,
Thailand,Producer price index (PPI),-11.43327842,-2.34375,4.914285714,-1.125635439,5.361733382,2.40501917,2.484683458,-0.232480903,1.531291611,2.491803279,1.887396033,-0.408163265,0.063051702,0.882167612,-0.031230481,-0.593564511,0.597108737,0.12496095,0.249609984,-0.622471211,0.657688694,0.995644057,0.400492914,-1.963792574,-1.627543036,-1.972637607,0.876338851,-1.02960103,-0.845253576,-1.606557377,2.032655781,-0.163291966,-0.228982663,1.540983607,-1.033257992,-0.717781403,0.230036149,0.06557377,0.982961992,0.454250487,-0.80749354,-1.042005861,1.283316881,-1.039636127,-0.853578464,0.265142384,-2.477117542,,,,,,,,,,,,,,,,,,
Ecuador,Producer price index (PPI),-5.023600809,-4.969826056,1.045946956,1.109057301,0.621572212,2.688953488,2.79547063,0.929432014,1.466575716,4.974789916,2.433557477,-0.625195374,-0.157282164,2.646502836,0.920810313,0.030413625,0.699300699,0.332125604,-1.594944327,-0.305810398,-0.981595092,-0.619578686,-1.059850374,-0.56710775,-2.122940431,-3.043056005,2.303839733,-2.088772846,-1.866666667,-4.076086957,2.83286119,2.61707989,4.798657718,2.945885367,-1.33748056,-0.157629256,3.631196716,0.365630713,1.032179721,2.193509615,2.381652455,-1.522113728,-0.437445319,-1.230228471,1.631079478,-1.634082288,,,,,,,,,,,,,,,,,,,
